category,date,title,menu,kcal
점심,2017년 03월 03일 금요일,급식,현미밥 냉이모시조개된장국5.6.13.18소고기무우찜5.6.13.16딸기/우유2포항초무침5.6. 배추김치9.13. 619/30/350.5,
점심,2017년 03월 06일 월요일,월요일,흑미밥 청국장찌개5.6.9.10.13.미역줄기볶음5. 훈제오리무쌈1.5.13. 오이김치9.13. 우유2,
점심,2017년 03월 07일 화요일,현미밥,홍합미역국5.6.13.18 들깨무나물5.13. 한우김치떡갈비1.2.5.6.9.10.13.14.16 배추김치9.13. 조미김13.우유2,
점심,2017년 03월 08일 수요일,쌀밥,파니르커리2.5.6.10.12.13.16닭안심살튀김1.2.5.6.13.15깍두기9.13. 우유2.야구르트2. 양상추샐러드(발사믹)1.5.6.13.,
점심,2017년 03월 09일 목요일,잡곡밥,콩나물국5.9.13.18 돼지갈비감자찜5.6.10.13. 취나물들깨볶음5.6.13.배추김치무침9.13. 요구르트2.우유2,
점심,2017년 03월 10일 금요일,기장밥,짬뽕국5.6.9.13.17.18시금치무침5.6. 참치계란말이1.5.13. 군고구마/우유2. 배추겉절이9.13.,
점심,2017년 03월 13일 월요일,서리태밥5,미역국(대합살)5.6.13.18연근조림5.6.13. 쇠고기야채볶음5.6.16 배추김치9. 딸기/우유2,
점심,2017년 03월 14일 화요일,코다리강정조림,흑미밥 맑은순두부찌개1.5.13.18코다리강정조림5.6.13.미역줄기볶음5. 깍두기9.13. 망고/우유2,576 kcal
점심,2017년 03월 15일 수요일,산채비빔밥5,"부추달걀국1.13.18,백김치9.13,찹쌀도우넛5.13,식혜, 약고추장5.6.13,우유",
점심,2017년 03월 16일 목요일,중식,"차수수밥,감자탕5.6.9.10. 참나물무침 완자전1.5.6.9.13. 배추김치9. 파인애플우유2",605 kcal
점심,2017년 03월 17일 금요일,기장밥,우렁이된장국5.6.8.13.18 돼지고기두루치기5.6.10.배추김치9. 모듬쌈/청국쌈장4.5.6.13.우유2,624 kcal
점심,2017년 03월 20일 월요일,옥수수밥,황태콩나물국1.5.6.9.13.18소고기우엉조림5.6.13.16고사리도라지볶음13.감자부각5. 배추겉절이9.13. 우유2.,613 kcal
점심,2017년 03월 21일 화요일,흑미밥,떡국1.5.6.13.16 냉이나물5.6.13. 포크커틀릿1.2.5.6.10.12.13.배추김치9.13. 딸기/ 우유2.,652 kcal
점심,2017년 03월 22일 수요일,수다날,"짜장밥,메이플피칸파이,오징어실채무침 깍두기,요구르트, 우유",647 kcal
점심,2017년 03월 23일 목요일,차수수밥,아욱국5.6.9. 낙지볶음5.6.13.16.17 잡채1.5.6.8.10.13. 배추김치9.13. 대추토마토12. 우유2.,610 kcal
점심,2017년 03월 24일 금요일,기장밥,호박감자된장국5.6.18 돼지고기편육조림(2)5.6.10.13. 가지나물5.6.13. 배추김치9.우유2. 대추토마토12.,632 kcal
점심,2017년 03월 27일 월요일,쌀밥,대구탕5.6.8.13.17.18바베큐폭립10.13.쑥갓무침5. 배추김치9.13. 우유2,590 kcal
