name,date,title,content
배수연,2023-04-19,2023학년도 초등교외체험학습 안내(신설 항목 추가),2023학년도 초등교외체험학습 안내 (신설 항목 추가)입니다.
배수연,2023-03-09,2023학년도 방과후학교 다자녀 지원 안내,
배수연,2023-03-08,2023 학생출결처리 지침 안내,
배수연,2023-07-18,서울대현초등학교 학교규칙 공포ㆍ시행 안내,서울대현초등학교 학교규칙 공포ㆍ시행 안내 입니다
배수연,2023-07-17,태풍.집중호우.낙뢰 - 한눈에 보는 안전매뉴얼,태풍.집중호우.낙뢰 - 한눈에 보는 안전매뉴얼 안내 입니다.
배수연,2023-07-12,2023 수업시수 조정에 따른 방과후 학교 시간표 변경안내,2023 수업시수 조정에 따른 방과후 학교 시간표 변경안내 입니다.
배수연,2023-07-12,2023학년도 학생 봉사활동 안내,2023학년도 학생 봉사활동 안내 입니다.
배수연,2023-07-12,2023 강남서초 달달한 학부모 아카데미 7월 강좌 안내,2023 강남서초 달달한 학부모 아카데미 7월 강좌 안내 입니다.
배수연,2023-07-12,글로벌 문화. 언어체험 교육원 캠프 안내,글로벌 문화. 언어체험 교육원 캠프 안내 입니다.
배수연,2023-07-12,녹색물품 보관함 구입 및 위치 안내,녹색물품 보관함 구입 및 위치 안내 입니다.
배수연,2023-07-12,2023학년도 초등학교 신입생 입학준비금 추가 신청(7월) 안내,2023학년도 초등학교 신입생 입학준비금 추가 신청(7월) 안내 입니다.
배수연,2023-07-12,2023학년도 서울대현초등학교 학교규칙 개정안 발의 안내,2023학년도 서울대현초등학교 학교규칙 개정안 발의 안내 입니다.
배수연,2023-07-12,2023 강남구 우주과학 미래인재 캠프 신청 안내,2023 강남구 우주과학 미래인재 캠프 신청 안내 입니다.
배수연,2023-04-19,2023학년도 초등교외체험학습 안내(신설 항목 추가),2023학년도 초등교외체험학습 안내 (신설 항목 추가)입니다.
배수연,2023-03-09,2023학년도 방과후학교 다자녀 지원 안내,
배수연,2023-03-08,2023 학생출결처리 지침 안내,
배수연,2023-07-12,2023 입학준비금 온라인 만족도 조사 안내,2023 입학준비금 온라인 만족도 조사 안내 입니다.
배수연,2023-07-12,2023 3학년 1학기 진로현장체험학습비 정산 내역 안내,2023 3학년 1학기 진로현장체험학습비 정산 내역 안내 입니다.
배수연,2023-07-12,2023 여름방학 스포츠캠프 안내,2023 여름방학 스포츠캠프 안내 입니다.
배수연,2023-07-12,2023 2학기 전교임원선거 안내,2023 2학기 전교임원선거 안내 입니다.
배수연,2023-07-07,2023학년도 초중고 학생 교육비 중 교육정보화(인터넷통신비) 지원안내,2023학년도 초중고 학생 교육비 중 교육정보화(인터넷통신비) 지원안내 입니다.
배수연,2023-06-22,2023 미래를 이끌어 나갈 초등학생 스마트 미디어 메이커(5-6학년),2023 미래를 이끌어 나갈 초등학생 스마트 미디어 메이커(5-6학년) 안내 입니다.
배수연,2023-06-22,안전교육-함께 지켜요! 어린이 보호구역,안전교육-함께 지켜요! 어린이 보호구역 안내 입니다.
배수연,2023-06-22,2023 특수교육대상자 인권실태조사 온라인 조사참여안내,2023 특수교육대상자 인권실태조사 온라인 조사참여안내 입니다.
배수연,2023-06-22,2023 진로직업박람회 운영 및 신청 안내,2023 진로직업박람회 운영 및 신청 안내 입니다.
배수연,2023-06-22,2023 초중등 진로교육 현황 조사 협조 안내,2023 초중등 진로교육 현황 조사 협조 안내 입니다.
배수연,2023-04-19,2023학년도 초등교외체험학습 안내(신설 항목 추가),2023학년도 초등교외체험학습 안내 (신설 항목 추가)입니다.
배수연,2023-03-09,2023학년도 방과후학교 다자녀 지원 안내,
배수연,2023-03-08,2023 학생출결처리 지침 안내,
배수연,2023-06-15,2023 3학년 1학기 진로현장체험학습비 납부 안내,2023 3학년 1학기 진로현장체험학습비 납부 안내 입니다.
배수연,2023-06-15,사이버폭력으로부터 우리 자녀 보호하기,사이버폭력으로부터 우리 자녀 보호하기 안내 입니다.
배수연,2023-06-15,2023 '수업나눔' 실시에 따른 수업시간 변경 안내,2023 '수업나눔' 실시에 따른 수업시간 변경 안내 입니다.
배수연,2023-06-15,2023 강남서초 [달달한 학부모 아카데미] 6월 강좌 안내,2023 강남서초 [달달한 학부모 아카데미] 6월 강좌 안내 입니다.
배수연,2023-06-12,"2023 3-4학년 생존수영 실기교육 신청 안내(3,4학년)","2023 3-4학년 생존수영 실기교육 신청 안내(3,4학년) 입니다."
배수연,2023-06-12,65회 서울과학전람회 예선 대회 안내,65회 서울과학전람회 예선 대회 안내 가정통신문 입니다.
배수연,2023-06-01,2023학년도 강남서초 학생기후행동 365 학생 지킴이 초록별 친해지기 신청 안내,2023학년도 강남서초 학생기후행동 365 학생 지킴이 초록별 친해지기 신청 안내 입니다.
배수연,2023-06-01,2023학년도 1학기 자율휴업일(6월 5일) 안내,2023학년도 1학기 자율휴업일(6월 5일) 안내 입니다.
배수연,2023-06-01,"2,3,5,6학년 학생 소변검사 실시 안내","2,3,5,6학년 학생 소변검사 실시 안내 입니다."
배수연,2023-06-01,6.1(목)부터 개정되는 코로나19 관련 학교 방역 지침 안내,6.1(목)부터 개정되는 코로나19 관련 학교 방역 지침 안내 입니다.
배수연,2023-04-19,2023학년도 초등교외체험학습 안내(신설 항목 추가),2023학년도 초등교외체험학습 안내 (신설 항목 추가)입니다.
배수연,2023-03-09,2023학년도 방과후학교 다자녀 지원 안내,
배수연,2023-03-08,2023 학생출결처리 지침 안내,
