name,date,title,content
박정미,2023-06-02,65회 서울과학전람회 예선대회 개최요강,"65회 서울과학전람회 예선대회 개최요강 안내합니다. 
가통은 6월 7일에 안내됩니다. 
희망자는 8월 25일 금요일 9시까지 4의 3으로 제출합니다. "
배수연,2023-05-04,방과후학교 정책연구 온라인 설문조사 실시(학부모용)," 방과후학교 정책연구 온라인 설문조사 실시(학부모용)

서울시교육청 방과후학교 정책연구 온라인 설문조사를 다음과 같이 실시하오니, 학부모님의 의견이 적극 반영될 수 있도록 설문 참여에 협조를 부탁드립니다.
가. 연 구 명: 질 높은 방과후학교 운영을 위한 교육(지원)청-자치구 지원체제 및 시스템 구축에 관한 연구
나. 설문목적: 질 높은 방과후학교 운영 방안 마련을 위한 현장의견 수렴
다. 설문기간: 2023. 5. 3.(수) ~ 5. 9.(화)
라. 설문대상: 서울 소재 초등학교 교원(교장, 교감 포함), 방과후학교 강사 및 보호자(학부모)
마. 설문방법: 하단의 설문 링크 또는 QR코드 접속 후 개별 응답
사. 설문링크:
- 보호자(학부모용) : https://moaform.com/q/9HTjTF
- 참여 QR코드:"
김수현,2023-04-14,2023 학생 기후행동 365 학생 운영위원 지원 1차 서식,"1차 서류 서식 파일 다운로드 및 내용 기재 후,
[서식 1]: 한글 원본 파일+ 서명 후 스캔한 PDF파일
[서식 2, 3]: 한글 원본 파일만 필요

총 2개(한글 원본 파일 1묶음 + 서식 1 pdf 스캔파일) 의 서류를 usb에 담아
3학년 2반 교실로 제출해주십시오."
소아영,2022-11-29,2023학년도 학교교육계획 수립을 위한 학생 설문 안내,"2023학년도 학교교육계획 수립을 위한 학생 설문 안내입니다. 

3학년
https://forms.gle/gAAAR1TN7p9v8eXn8

4,5학년
https://forms.gle/xmn9ZQKeZ35o2jou6"
관리자,2022-03-08,제14기 서울대현초등학교운영위원회 구성 알림,"2022.3.1.자로 제13기 학교운영위원회 위원임기 만료에 따라
2022년 3월 중으로 제14기 학교운영위원회 구성을 추진하고 있습니다.
관심있는 학부모, 지역인사께서는 많은 참여 바랍니다."
민영미,2020-12-07,강도 높은 서울형 방역조치 시행에 따른 학교시설개방 중단 안내,"강도 높은 서울형 방역조치 시행에 따른 학교시설개방 중단 안내
? 학교 실내·외 시설 개방 중지
    ○ 개방 중지대상: 일시사용허가 중단
     단, 운동장 산책은 2단계 조치 유지하면서 가능
? 개방 중지기간: 2020.12.5.(토) 21시~ 별도 안내 시까지
붙임: 학교시설개방 안내문"
배수연,2023-07-12,2023학년도 2학기 전교 어린이 임원 선거 결과표,"전교 어린이 임원 선거 결과표

2023학년도 2학기                                                          서울대현초등학교
  당선직책
기호
성별
이 름
전교회장
6
남
강연O
남부회장
1
남
송병O
여부회장
3
여
이서O
남부회장
4
남
김예O
여부회장
2
여
권재O"
배수연,2023-07-07,수상 안전사고 예방 및 대처요령,수상 안전사고 예방 및 대처요령 안내 입니다.
김창희,2023-07-06,2023학년도 대현초 학생 개인 계획에 의한 봉사활동 안내,첨부파일을 참고하여 기준과 절차에 맞게 실시해주시기 바랍니다.
배수연,2023-06-27,유튜브로 보는 제172회 강서지식비타민강좌,"유튜브로 보는 제172회 강서지식비타민강좌

안녕하십니까?
서울특별시 강서구에서는 시대적 이슈를 반영한 명사들의 지식과 생각을 공유하는
『강서 지식비타민강좌』를 아래와 같이 유튜브 영상으로 게시하오니 학부모님들의 많은 관심과 시청 부탁드립니다.
  ◎ 주제: 남궁인 교수의 응급실 가이드
◎ 강사: 남궁인(이대목동병원 응급의학과 교수, 작가)
◎ 영상 게시기간: 2023. 6. 26. (월) ∼ 7. 25.(화)까지 
  (이후 비공개 전환)
https://youtu.be/7NfMSYR1PMU "
김영숙,2023-06-23,"2023 우체국 문화전(우체국 예금, 보험 어린이 그림그리기글짓기대회) 실시안내","2023 우체국 문화전(우체국 예금, 보험 어린이 그림그리기글짓기대회)이 실시된다고 합니다. 관심 있는 학생들의 많은 참여 바랍니다. 자세한 내용은 첨부 파일을 참고하세요~

* 공모전 개요
o 대 회 명:""우체국 예금,우체국보험과 함께하는 2023 우체국 문화전""
o 응모 대상: 전국 초등, 중, 고등학생
o 응모 부문: 그림그리기(초등), 글짓기(초,중,고등) 2개 부문
o 작품 주제: ""우체국""과 관련된 이야기
o 응모 기간: 2023. 6.20.(화)~ 8.28.(월)
o 응모방법:우체국문화전 홈페이지(www.우체국문화전.com)에서 온라인 접수
o 최종 수상자 발표: 10.5.(목) / 시상식 : 11.15.(수 )예정

* 시상규모: 총 210명(그림 102명, 글짓기 108명)
 ※ 과기부장관상 5, 본부장상 25, 원장상 60, 청장상120 / 총 상금 : 4,750만원"
최유미,2023-06-21,2023년 3분기 발명과학교실 모집 공고,한국발명진흥회에서 2023년 '발명과학교실'에 참여할 학생을 모집하오니 첨부파일을 참고하시어 지원하시기 바랍니다. 
배수연,2023-06-13,'만 나이 통일법' 안내,'만 나이 통일법' 안내 입니다.
박정미,2023-06-02,65회 서울과학전람회 예선대회 개최요강,"65회 서울과학전람회 예선대회 개최요강 안내합니다. 
가통은 6월 7일에 안내됩니다. 
희망자는 8월 25일 금요일 9시까지 4의 3으로 제출합니다. "
이은주,2023-05-30,2023학년도 스포츠 창직 아이디어 공모전 안내,
배수연,2023-05-25,『강남구민 옛 생활 기록물 모집』 안내,"『강남구민 옛 생활 기록물 모집』

강남구는 구민들의 옛 생활과 삶을 엿볼 수 있는 다양한 형태의 기록물을 수집하여, 강남의 가치있는 역사와 추억을 구민들과 공유하기 위한 전시회를 추진하고자 합니다.
이와 관련하여 관내 학부모 및 조부모님들께서 소유하고 있는 스토리와 추억이 담긴 다양한 형태의 옛 기록물을 모집하고자 하오니, 관심있는 분들의 적극적인 참여 바랍니다.
□ 모집개요
○ 모집기간 : 2023. 5. 24.(수) ~ 6. 16.(금)
○ 모집자격 : 제한 없음 (강남구민 중 옛 기록물 소장자 누구나)
○ 모집대상 : 강남구민의 역사와 추억이 담긴 다양한 형태의 옛 기록물 (1980년 이전 물품)
(예시) 사진, 앨범, 지도, 교복, 상장, 배지, 일기, 책자, 골동품 등
○ 접수방법 : 신청서 작성 후 메일(alswn22@gangnam.go.kr) 접수
○ 선 정 : 적합성, 스토리, 상태 등 종합적으로 판단 후 선정 (개별 통보)
○ 활용계획 : 강남구 주최 전시회에 전시 예정 (선정 기록물 대여)
전시회 개최 개요
1.전시기간 : 2023. 7. 3.(월) ~ 8. 31.(목) (예정)
2.전시장소 : 구청 본관 1층, 2층 로비
3.전시내용 : 강남의 성장·발전 변천사 / 강남구민 추억의 옛 기록물 전시
※ 전시회 일정 및 내용 등 일부 변경 될 수 있음.
※ 신청서 메일 접수 후, 전시에 적합한 기록물로 선정되면(개별 통보) 정책홍보실의
안내에 따라 물품을 제출해주시기 바랍니다. 소중한 기록물은 안전하게 보관하여
전시 후 소장자분들께 다시 돌려드리겠습니다. 많은 참여 바랍니다.
□ 문 의 : 02-3423-5099(강남구청 정책홍보실 홍보팀)"
박정미,2023-06-02,65회 서울과학전람회 예선대회 개최요강,"65회 서울과학전람회 예선대회 개최요강 안내합니다. 
가통은 6월 7일에 안내됩니다. 
희망자는 8월 25일 금요일 9시까지 4의 3으로 제출합니다. "
배수연,2023-05-04,방과후학교 정책연구 온라인 설문조사 실시(학부모용)," 방과후학교 정책연구 온라인 설문조사 실시(학부모용)

서울시교육청 방과후학교 정책연구 온라인 설문조사를 다음과 같이 실시하오니, 학부모님의 의견이 적극 반영될 수 있도록 설문 참여에 협조를 부탁드립니다.
가. 연 구 명: 질 높은 방과후학교 운영을 위한 교육(지원)청-자치구 지원체제 및 시스템 구축에 관한 연구
나. 설문목적: 질 높은 방과후학교 운영 방안 마련을 위한 현장의견 수렴
다. 설문기간: 2023. 5. 3.(수) ~ 5. 9.(화)
라. 설문대상: 서울 소재 초등학교 교원(교장, 교감 포함), 방과후학교 강사 및 보호자(학부모)
마. 설문방법: 하단의 설문 링크 또는 QR코드 접속 후 개별 응답
사. 설문링크:
- 보호자(학부모용) : https://moaform.com/q/9HTjTF
- 참여 QR코드:"
김수현,2023-04-14,2023 학생 기후행동 365 학생 운영위원 지원 1차 서식,"1차 서류 서식 파일 다운로드 및 내용 기재 후,
[서식 1]: 한글 원본 파일+ 서명 후 스캔한 PDF파일
[서식 2, 3]: 한글 원본 파일만 필요

총 2개(한글 원본 파일 1묶음 + 서식 1 pdf 스캔파일) 의 서류를 usb에 담아
3학년 2반 교실로 제출해주십시오."
소아영,2022-11-29,2023학년도 학교교육계획 수립을 위한 학생 설문 안내,"2023학년도 학교교육계획 수립을 위한 학생 설문 안내입니다. 

3학년
https://forms.gle/gAAAR1TN7p9v8eXn8

4,5학년
https://forms.gle/xmn9ZQKeZ35o2jou6"
관리자,2022-03-08,제14기 서울대현초등학교운영위원회 구성 알림,"2022.3.1.자로 제13기 학교운영위원회 위원임기 만료에 따라
2022년 3월 중으로 제14기 학교운영위원회 구성을 추진하고 있습니다.
관심있는 학부모, 지역인사께서는 많은 참여 바랍니다."
민영미,2020-12-07,강도 높은 서울형 방역조치 시행에 따른 학교시설개방 중단 안내,"강도 높은 서울형 방역조치 시행에 따른 학교시설개방 중단 안내
? 학교 실내·외 시설 개방 중지
    ○ 개방 중지대상: 일시사용허가 중단
     단, 운동장 산책은 2단계 조치 유지하면서 가능
? 개방 중지기간: 2020.12.5.(토) 21시~ 별도 안내 시까지
붙임: 학교시설개방 안내문"
배수연,2023-05-23,2023년 강남 환경의 날 기념행사,과
배수연,2023-05-23,2023학년도 코로나19 대응 학교방역활동지원 인력 채용(충원) 공고,"2023학년도 코로나19 대응 학교방역활동지원 인력 채용(충원) 공고


1 채용기간: 2023. 6. 1. ~ 2023. 7. 31.
(코로나 감염병이 지속되는 기간 내 한시적 운영)
* 코로나19 상황에 따라 채용 기간이 변경될 수 있음
* 주말,공휴일, 방학기간 비근무
2. 근무조건
가. 보수: 시급제 / 시간당 12,030원(2023년 생활임금 기준)
월~금
업무내용
근무시간
월, 화, 목, 금 10:00 ~ 13:00
수 10:00 ~ 12:00
방역활동, 하교지도
원격수업지원
주당 근무시간
14시간(일일 시간)
? 다양한 학교상황에 따라
업무시간이 조정될 수
있음
시간당 보수
12,030원

* 자세한 내용은 첨부파일 확인 바랍니다."
배수연,2023-05-18,식중독 예방을 위한 바로바로 손씻기 챌린지 참여 안내,식중독 예방을 위한 바로바로 손씻기 챌린지 참여 안내 입니다.
최유미,2023-05-17,수학고도영재 시범교육 프로그램 대상 학생 선발 안내,"과학기술정보통신부, KAIST 과학영재교육연구원에서 운영하는 '수학 고도영재 시범교육 프로그램'에 대해 안내드리오니, 관심있는 학생과 학부모님께서는 참고하시기 바랍니다."
배수연,2023-05-15,제20회 서울국제환경영화제 시네마 그린틴 개최 안내,제20회 서울국제환경영화제 시네마 그린틴 개최 안내 입니다.
